#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T11:54:40Z,3.64261168,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T11:55:20Z,3.853643515897436,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T11:56:00Z,4.294244119999998,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T11:56:40Z,4.292889364102564,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T11:57:20Z,4.293329928205128,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T11:58:00Z,4.303264744999999,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T11:58:40Z,4.310137569999998,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T11:59:20Z,4.5290333333333335,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:00:00Z,4.477830839024393,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:00:40Z,4.503039871794874,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:01:20Z,4.619790153846155,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:02:00Z,4.621133890000002,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:02:40Z,4.623711220000002,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:03:20Z,4.624195846153849,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:04:00Z,4.620274790000002,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:04:40Z,4.623281665000002,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:05:20Z,4.621993000000002,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:06:00Z,4.622852110000002,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:06:40Z,4.6219930000000025,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:07:20Z,4.621563445000002,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:08:00Z,4.623281665000003,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:08:40Z,4.621552430769233,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:09:20Z,4.621133890000002,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:10:00Z,4.619349584615386,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:10:40Z,4.621133890000003,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:11:20Z,4.660652800000002,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:12:00Z,4.6219930000000025,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:12:40Z,4.621563445000002,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:13:20Z,4.62287413846154,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:14:00Z,4.621563445000002,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:14:40Z,4.622422555000002,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:15:20Z,4.621111861538464,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:16:00Z,4.6219930000000025,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:16:40Z,4.6219930000000025,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:17:20Z,4.621563445000002,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:18:00Z,4.621563445000002,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:18:40Z,4.621111861538464,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:19:20Z,4.621133890000002,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:20:00Z,4.618027876923079,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:20:40Z,4.620274780000002,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:21:20Z,3.4870913282051275,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:22:00Z,3.632302287999999,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:22:40Z,3.63187273,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:23:20Z,3.624999813999999,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:24:00Z,3.5117630143589733,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:24:40Z,3.312626664615383,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:25:20Z,3.448453503999999,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:26:00Z,3.297680404999999,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:26:40Z,3.3393470499999984,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:27:20Z,3.4117542410256405,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:28:00Z,3.284793839999998,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:28:40Z,3.266367092307692,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:29:20Z,3.2998282049999985,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:30:00Z,3.3844501359999994,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:30:40Z,3.4463735263157873,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:31:20Z,3.6082472409756083,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:32:00Z,3.6258699528205116,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:32:40Z,3.624570263999999,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:33:20Z,3.6267180379999986,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:34:00Z,3.479161036923075,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:34:40Z,3.4162370309999988,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:35:20Z,3.5787292338461523,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:36:00Z,3.5562713059999984,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:36:40Z,3.350515442999998,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:37:20Z,3.265926528205128,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:38:00Z,28.495188994999932,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:38:40Z,3.4853289743589735,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:39:20Z,3.6228520439999983,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:40:00Z,3.627577157999999,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:40:40Z,3.627191653333332,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:41:20Z,3.631872729999999,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:42:00Z,3.631597372307692,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:42:40Z,3.6091063619999986,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:43:20Z,3.480240424999999,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:44:00Z,3.314388925128203,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:44:40Z,3.2783505549999985,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:45:20Z,3.2773813282051267,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:46:00Z,3.303264545,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:46:40Z,3.2714776849999985,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:47:20Z,3.2705524846153846,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:48:00Z,3.26428063773585,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:48:40Z,3.2689003549999995,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:49:20Z,3.271213338461538,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:50:00Z,3.268041245,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:50:40Z,3.2679090846153844,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:51:20Z,3.2979965245283025,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:52:00Z,3.2942440089999985,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:52:40Z,3.3286082799999983,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:53:20Z,3.2773813076923064,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:54:00Z,78.287113345,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:54:40Z,310.21526115897433,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:55:20Z,361.312979051282,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:56:00Z,3.2800687799999997,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:56:40Z,3.3075600349999994,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:57:20Z,3.2416953282051275,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:58:00Z,3.355240550999999,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:58:40Z,3.704731585641027,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T12:59:20Z,2.8608246750000004,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:00:00Z,2.664111338461539,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:00:40Z,2.6649484200000004,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:01:20Z,2.6975944600000004,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:02:00Z,2.662800645000001,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:02:40Z,2.66367076923077,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:03:20Z,2.6645519076923083,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:04:00Z,2.6984535700000007,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:04:40Z,2.7302405100000002,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:05:20Z,2.8006872307692308,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:06:00Z,2.728522290000001,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:06:40Z,2.6632302000000005,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:07:20Z,2.662789630769231,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:08:00Z,2.6950171400000005,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:08:40Z,2.66108243,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:09:20Z,2.6645866894736847,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:10:00Z,2.697175390243903,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:10:40Z,2.730637010256411,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:11:20Z,2.6963058,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:12:00Z,2.6632302000000005,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:12:40Z,2.6958762450000004,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:13:20Z,2.6632302000000005,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:14:00Z,2.6645518974358984,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:14:40Z,2.6628006450000004,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:15:20Z,2.6632302000000005,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:16:00Z,2.7056312612903204,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:16:40Z,2.7293814000000003,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:17:20Z,2.6971649100000006,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:18:00Z,2.7297558769230776,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:18:40Z,2.7615978850000005,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:19:20Z,2.6962727538461544,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:20:00Z,2.7955326000000005,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:20:40Z,2.7301964461538466,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:21:20Z,2.85996558,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:22:00Z,2.8264604250000005,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:22:40Z,2.8980526307692305,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:23:20Z,2.89218207,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:24:00Z,2.9645783025641026,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:24:40Z,2.95876282,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:25:20Z,2.924398565,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:26:00Z,2.797162692307693,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:26:40Z,2.826460425,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:27:20Z,2.730196446153847,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:28:00Z,2.8187284770000005,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:28:40Z,2.931535748717949,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:29:20Z,2.9566150500000004,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:30:00Z,2.794243930000001,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:30:40Z,2.7645607025641037,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:31:20Z,2.891752515,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:32:00Z,2.8260308800000002,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:32:40Z,2.764560707692308,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:33:20Z,2.728951845,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:34:00Z,2.7938143750000006,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:34:40Z,3.031985123076923,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:35:20Z,3.1533504299999997,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:36:00Z,2.990549765,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:36:40Z,3.166358174358974,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:37:20Z,3.299409543589743,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:38:00Z,3.1405581219512193,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:38:40Z,3.3007312461538456,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:39:20Z,2.9654594410256414,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:40:00Z,2.9252576650000006,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:40:40Z,3.05498274,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:41:20Z,3.1002730615384615,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:42:00Z,3.120704385,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:42:40Z,3.2418384099999997,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:43:20Z,2.931095184615385,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:44:00Z,2.859536025,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:44:40Z,2.827319535,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:45:20Z,3.0667899487179486,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:46:00Z,2.9905497500000005,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:46:40Z,3.2342055589743586,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:47:20Z,3.1211339349999996,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:48:00Z,3.15377998,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:48:40Z,3.0654682410256413,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:49:20Z,3.393976029411764,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:50:00Z,3.2612429869565203,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:50:40Z,3.1989601641025636,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:51:20Z,3.21907207,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:52:00Z,3.145618477,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:52:40Z,3.165036482051282,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:53:20Z,3.168717341935484,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:54:00Z,2.9758702434782607,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:54:40Z,3.130011366666667,distance_cm,tunnel_metrics_final
,,0,2026-01-17T11:00:00Z,2026-01-17T15:00:00.107Z,2026-01-17T13:55:20Z,3.0549827449999998,distance_cm,tunnel_metrics_final
